Territorialidades,IDHM 1991,IDHM 2000,IDHM 2010,IDHM Renda 1991,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 1991,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 1991,IDHM Educação 2000,IDHM Educação 2010
Abadia de Goiás,GO,0.408,0.569,0.708,0.563,0.623,0.687,0.658,0.765,0.83,0.183,0.386,0.622
Abadia dos Dourados,MG,0.449,0.575,0.689,0.551,0.616,0.693,0.728,0.799,0.839,0.225,0.387,0.563
Abadiânia,GO,0.41,0.503,0.689,0.56,0.598,0.671,0.656,0.73,0.841,0.188,0.292,0.579
Abaeté,MG,0.417,0.587,0.698,0.561,0.664,0.72,0.717,0.792,0.848,0.18,0.385,0.556
Abaetetuba,PA,0.386,0.501,0.628,0.49,0.523,0.579,0.669,0.75,0.798,0.175,0.32,0.537
Abaiara,CE,0.286,0.452,0.628,0.377,0.464,0.54,0.6,0.703,0.748,0.103,0.283,0.612
Abaíra,BA,0.352,0.495,0.603,0.456,0.52,0.577,0.636,0.715,0.746,0.15,0.326,0.51
Abaré,BA,0.332,0.422,0.575,0.464,0.488,0.533,0.536,0.642,0.776,0.147,0.24,0.46
Abatiá,PR,0.423,0.553,0.687,0.545,0.575,0.676,0.718,0.744,0.804,0.193,0.396,0.596
Abdon Batista,SC,0.41,0.576,0.694,0.495,0.583,0.66,0.716,0.75,0.812,0.194,0.437,0.625
Abelardo Luz,SC,0.443,0.579,0.696,0.555,0.661,0.684,0.751,0.791,0.852,0.209,0.371,0.578
Abel Figueiredo,PA,0.357,0.508,0.622,0.549,0.592,0.625,0.637,0.709,0.8,0.13,0.313,0.481
Abre Campo,MG,0.379,0.54,0.654,0.479,0.586,0.646,0.678,0.746,0.823,0.168,0.36,0.525
Abreu E Lima,PE,0.455,0.561,0.679,0.528,0.56,0.625,0.655,0.714,0.791,0.272,0.442,0.632
Abreulândia,TO,0.215,0.454,0.665,0.42,0.506,0.7,0.604,0.713,0.835,0.039,0.26,0.502
Acaiaca,MG,0.336,0.518,0.63,0.533,0.564,0.61,0.636,0.724,0.823,0.112,0.341,0.499
Açailândia,MA,0.344,0.498,0.672,0.565,0.579,0.643,0.545,0.685,0.785,0.132,0.311,0.602
Acajutiba,BA,0.285,0.422,0.582,0.441,0.477,0.56,0.487,0.597,0.723,0.108,0.264,0.487
Acará,PA,0.254,0.35,0.506,0.45,0.481,0.517,0.631,0.714,0.757,0.058,0.125,0.332
Acarape,CE,0.349,0.49,0.606,0.443,0.485,0.559,0.537,0.632,0.709,0.179,0.383,0.562
Acaraú,CE,0.277,0.415,0.601,0.449,0.483,0.554,0.534,0.671,0.758,0.089,0.22,0.517
Acari,RN,0.43,0.557,0.679,0.5,0.559,0.633,0.643,0.728,0.779,0.247,0.425,0.634
Acauã,PI,0.143,0.274,0.528,0.344,0.333,0.517,0.474,0.562,0.692,0.018,0.11,0.411
Aceguá,RS,0.509,0.621,0.687,0.62,0.644,0.703,0.749,0.811,0.852,0.284,0.459,0.541
Acopiara,CE,0.254,0.412,0.595,0.413,0.498,0.563,0.514,0.637,0.724,0.077,0.22,0.517
Acorizal,MT,0.386,0.5,0.628,0.497,0.554,0.594,0.699,0.745,0.816,0.166,0.302,0.51
Acrelândia,AC,0.247,0.451,0.604,0.535,0.565,0.584,0.652,0.723,0.808,0.043,0.224,0.466
Acreúna,GO,0.429,0.571,0.686,0.599,0.665,0.71,0.658,0.783,0.822,0.2,0.358,0.553
Açucena,MG,0.267,0.443,0.61,0.447,0.501,0.595,0.665,0.757,0.844,0.064,0.229,0.451
Açu,RN,0.399,0.536,0.661,0.514,0.571,0.641,0.596,0.711,0.795,0.208,0.379,0.568
Adamantina,SP,0.592,0.721,0.79,0.672,0.718,0.772,0.731,0.811,0.852,0.423,0.644,0.75
Adelândia,GO,0.437,0.529,0.702,0.577,0.582,0.664,0.644,0.712,0.836,0.224,0.357,0.622
Adolfo,SP,0.513,0.667,0.73,0.608,0.644,0.71,0.751,0.802,0.844,0.296,0.574,0.648
Adrianópolis,PR,0.4,0.542,0.667,0.528,0.539,0.644,0.661,0.748,0.817,0.183,0.396,0.563
Adustina,BA,0.206,0.347,0.546,0.424,0.492,0.526,0.468,0.584,0.718,0.044,0.146,0.432
Afogados da Ingazeira,PE,0.383,0.518,0.657,0.474,0.571,0.623,0.655,0.728,0.807,0.181,0.335,0.565
Afonso Bezerra,RN,0.343,0.456,0.585,0.415,0.508,0.56,0.562,0.675,0.713,0.173,0.277,0.502
Afonso Cláudio,ES,0.386,0.553,0.667,0.524,0.612,0.661,0.668,0.74,0.825,0.164,0.374,0.544
Afonso Cunha,MA,0.278,0.337,0.529,0.349,0.384,0.471,0.506,0.595,0.725,0.122,0.168,0.434
Afrânio,PE,0.263,0.386,0.588,0.401,0.461,0.542,0.64,0.687,0.761,0.071,0.182,0.493
Afuá,PA,0.25,0.33,0.489,0.459,0.468,0.485,0.633,0.711,0.774,0.054,0.108,0.311
Agrestina,PE,0.305,0.436,0.592,0.478,0.534,0.581,0.547,0.657,0.76,0.109,0.237,0.47
Agricolândia,PI,0.379,0.447,0.599,0.363,0.428,0.55,0.604,0.672,0.742,0.248,0.31,0.526
Agrolândia,SC,0.458,0.593,0.725,0.578,0.633,0.727,0.724,0.76,0.827,0.23,0.433,0.633
Agronômica,SC,0.431,0.602,0.741,0.573,0.668,0.774,0.761,0.805,0.884,0.184,0.405,0.595
Água Azul do Norte,PA,0.208,0.376,0.564,0.489,0.565,0.563,0.576,0.679,0.797,0.032,0.139,0.399
Água Boa,MG,0.256,0.451,0.576,0.442,0.548,0.594,0.675,0.702,0.799,0.056,0.238,0.403
Água Boa,MT,0.426,0.603,0.729,0.617,0.718,0.723,0.651,0.735,0.829,0.192,0.416,0.646
Água Branca,AL,0.282,0.392,0.549,0.367,0.459,0.527,0.576,0.675,0.728,0.106,0.195,0.432
Água Branca,PB,0.267,0.415,0.572,0.332,0.466,0.542,0.474,0.606,0.712,0.121,0.253,0.484
