,sigla_uf,pop_sem_atend,pop_atend_solucao_ind,pop_atend_col_sem_trat,pop_atend_col_trat,pop_urbana_UF,indice_sem_atend,indice_atend_solucao_ind,indice_atend_col_sem_trat,indice_atend_col_trat,Mortalidade_Infantil
0,AC,290680.0,72658.0,11165.0,188362.0,562865.0,51.642933918435155,12.908601529674076,1.9836017517521964,33.464862800138576,16.3
1,AL,1510205.0,299988.0,224874.0,403931.0,2438998.0,61.91907496439112,12.299641082116509,9.219933759683279,16.561350193809098,18.3
2,AM,1739920.0,597907.0,110372.0,566252.0,3014451.0,57.71929946779696,19.834689633369393,3.661429560473864,18.78458133835979,17.7
3,AP,499598.0,110984.0,4037.0,44238.0,658857.0,75.82798695316283,16.84492993168472,0.6127277998108847,6.714355315341569,23.0
4,BA,3391900.0,618600.0,1336555.0,5534246.0,10881301.0,31.171824030968352,5.684981970446365,12.283044095554382,50.860149903030894,16.6
5,CE,1708191.0,2011105.0,263541.0,2620834.0,6603671.0,25.867294115651735,30.45434880084123,3.9908257089125128,39.68753137459453,13.8
6,DF,231709.0,223627.0,0.0,2238960.0,2694296.0,8.599983075356233,8.30001603387304,0.0,83.10000089077072,10.3
7,ES,1106921.0,145099.0,641370.0,1316684.0,3210074.0,34.48272532035087,4.520113866533918,19.979913235645036,41.01724757747018,8.4
8,GO,2130811.0,763094.0,151192.0,2775048.0,5820145.0,36.61096072348713,13.11125410105762,2.59773596705924,47.68004920839601,14.5
9,MA,2607726.0,957063.0,556962.0,168788.0,4290539.0,60.778517570869305,22.306358245432566,12.981166235757325,3.9339579479408067,20.3
10,MG,2032898.0,430610.0,7473685.0,7655609.0,17592802.0,11.555282666172221,2.447648759987181,42.48149328344626,43.51557529039433,10.4
11,MS,912187.0,338853.0,17286.0,948655.0,2216981.0,41.14545862143158,15.284434102051394,0.7797089826209607,42.79039829389607,13.6
12,MT,1414106.0,557259.0,55299.0,577561.0,2604225.0,54.30045406982884,21.398266278835354,2.123434035077614,22.177845616258196,16.5
13,PA,3595806.0,1381511.0,280088.0,203945.0,5461350.0,65.84097338570135,25.29614472612083,5.128548802036127,3.734333086141705,16.1
14,PB,1013207.0,205078.0,479892.0,1260641.0,2958818.0,34.243640534835194,6.931078559073252,16.219044226444478,42.606236679647076,15.4
15,PE,3259298.0,834932.0,1301852.0,1992052.0,7388134.0,44.11530705858881,11.300986148870608,17.620849865473474,26.9628569270671,12.1
16,PI,1240466.0,595946.0,49207.0,212188.0,2097807.0,59.13155976693757,28.408047070107024,2.3456399945276187,10.114753168427791,18.5
17,PR,2213354.0,1061454.0,106231.0,6021954.0,9402993.0,23.538824287117944,11.28846953305187,1.1297573017442424,64.04294887808595,8.9
18,RJ,2774268.0,1404584.0,4884329.0,6766549.0,15829730.0,17.52568110763734,8.873076167439368,30.855415727242345,42.74582699768095,11.1
19,RN,1243205.0,581628.0,159421.0,646419.0,2630673.0,47.25805905941179,22.10947540800396,6.060084244602047,24.5723812879822,14.0
20,RO,913864.0,251688.0,65602.0,46130.0,1277284.0,71.54743972366366,19.704936411949102,5.136054315250171,3.611569549137075,19.6
21,RR,179490.0,125408.0,14290.0,54949.0,374137.0,47.97440509759794,33.51927235210631,3.819456509246613,14.686866041049134,17.0
22,RS,2051264.0,2277426.0,2679505.0,2505166.0,9513361.0,21.561927482831777,23.9392366167961,28.165702951879997,26.33313294849213,9.3
23,SC,1104595.0,2645767.0,481572.0,1363463.0,5595397.0,19.74113722404326,47.284705624998544,8.606574296694228,24.36758285426396,8.9
24,SE,911203.0,185006.0,173418.0,349855.0,1619482.0,56.265089701521845,11.423776244502871,10.708238807223545,21.60289524675174,15.4
25,SP,3856597.0,1611854.0,9345500.0,27092054.0,41906005.0,9.202969836900463,3.8463556714604503,22.301099806579032,64.64957468506005,9.6
26,TO,632035.0,183212.0,15320.0,338763.0,1169330.0,54.05103777376789,15.668117640016078,1.3101519673659274,28.970692618850112,15.3
