,id_municipio,populacao_urbana_2013,indice_sem_atend,indice_atend_solucao_ind,indice_atend_col_sem_trat,indice_atend_col_trat,sigla_uf,pop_sem_atend,pop_atend_solucao_ind,pop_atend_col_sem_trat,pop_atend_col_trat
0,1100015,14735,96.7,1.9,1.4,0.0,RO,14249.0,280.0,206.0,0.0
1,1100023,85770,89.4,8.6,2.0,0.0,RO,76678.0,7376.0,1715.0,0.0
2,1100031,2771,99.0,0.6,0.4,0.0,RO,2743.0,17.0,11.0,0.0
3,1100049,67665,28.8,16.2,0.0,55.0,RO,19488.0,10962.0,0.0,37216.0
4,1100056,15276,79.6,19.7,0.7,0.0,RO,12160.0,3009.0,107.0,0.0
5,1100064,14097,94.9,4.0,1.0,0.0,RO,13378.0,564.0,141.0,0.0
6,1100072,2665,92.2,6.5,1.3,0.0,RO,2457.0,173.0,35.0,0.0
7,1100080,8689,89.6,8.5,1.9,0.0,RO,7785.0,739.0,165.0,0.0
8,1100098,22741,85.0,13.8,1.2,0.0,RO,19330.0,3138.0,273.0,0.0
9,1100106,38676,75.5,14.5,10.0,0.0,RO,29200.0,5608.0,3868.0,0.0
10,1100114,37544,94.9,3.4,1.7,0.0,RO,35629.0,1276.0,638.0,0.0
11,1100122,115123,77.1,18.6,4.3,0.0,RO,88760.0,21413.0,4950.0,0.0
12,1100130,18509,96.5,2.8,0.8,0.0,RO,17861.0,518.0,148.0,0.0
13,1100148,9035,92.0,6.0,2.0,0.0,RO,8312.0,542.0,181.0,0.0
14,1100155,29793,90.4,7.5,2.0,0.0,RO,26933.0,2234.0,596.0,0.0
15,1100189,32128,60.2,30.3,9.5,0.0,RO,19341.0,9735.0,3052.0,0.0
16,1100205,442218,54.7,35.1,10.2,0.0,RO,241893.0,155219.0,45106.0,0.0
17,1100254,13719,96.9,1.3,1.8,0.0,RO,13294.0,178.0,247.0,0.0
18,1100262,1176,99.5,0.5,0.0,0.0,RO,1170.0,6.0,0.0,0.0
19,1100288,45281,81.6,16.8,0.0,1.6,RO,36949.0,7607.0,0.0,724.0
20,1100296,4526,96.0,1.1,2.9,0.0,RO,4345.0,50.0,131.0,0.0
21,1100304,83140,85.8,12.2,2.0,0.0,RO,71334.0,10143.0,1663.0,0.0
22,1100320,9184,95.8,2.9,1.4,0.0,RO,8798.0,266.0,129.0,0.0
23,1100338,15200,90.3,9.2,0.6,0.0,RO,13726.0,1398.0,91.0,0.0
24,1100346,9110,6.7,3.3,0.1,89.9,RO,610.0,301.0,9.0,8190.0
25,1100379,3945,98.2,0.4,1.4,0.0,RO,3874.0,16.0,55.0,0.0
26,1100403,9314,86.6,12.9,0.5,0.0,RO,8066.0,1202.0,47.0,0.0
27,1100452,20457,96.9,2.5,0.5,0.0,RO,19823.0,511.0,102.0,0.0
28,1100502,1780,98.2,1.3,0.5,0.0,RO,1748.0,23.0,9.0,0.0
29,1100601,2261,53.6,45.9,0.6,0.0,RO,1212.0,1038.0,14.0,0.0
30,1100700,3710,98.4,0.4,1.2,0.0,RO,3651.0,15.0,45.0,0.0
31,1100809,14968,85.8,8.1,6.1,0.0,RO,12843.0,1212.0,913.0,0.0
32,1100908,863,96.3,3.5,0.2,0.0,RO,831.0,30.0,2.0,0.0
33,1100924,4252,97.1,0.9,2.0,0.0,RO,4129.0,38.0,85.0,0.0
34,1100940,13520,89.0,10.2,0.8,0.0,RO,12033.0,1379.0,108.0,0.0
35,1101005,2366,47.2,51.7,1.1,0.0,RO,1117.0,1223.0,26.0,0.0
